Wavelength,Flux
3941.0,1.5625258031892741e-10
3942.0,1.567309892980262e-10
3943.0,1.5565930489014335e-10
3944.0,1.5425671850977096e-10
3945.0,1.5115261819964587e-10
3946.0,1.4938993098123632e-10
3947.0,1.4838866246869031e-10
3948.0,1.4726142527621278e-10
3949.0,1.471455041146541e-10
3950.0,1.4684121973917996e-10
3951.0,1.4587081542671854e-10
3952.0,1.447174741153745e-10
3953.0,1.4262416248023158e-10
3954.0,1.418557632471007e-10
3955.0,1.3956123756653227e-10
3956.0,1.3773916729409308e-10
3957.0,1.3424625300295645e-10
3958.0,1.3060739989523285e-10
3959.0,1.2849193931074865e-10
3960.0,1.2209386279771195e-10
3961.0,1.1903020236125883e-10
3962.0,1.1100738384062225e-10
3963.0,1.0461847360643262e-10
3964.0,9.936763911699842e-11
3965.0,8.884826901978116e-11
3966.0,8.463459100216397e-11
3967.0,7.102114729651277e-11
3968.0,6.241666211659336e-11
3969.0,5.202238292922878e-11
3970.0,4.230474304200982e-11
3971.0,4.003344183933777e-11
3972.0,4.466443187522984e-11
3973.0,5.0314474808743626e-11
3974.0,6.065641044994408e-11
3975.0,7.040085181486688e-11
3976.0,7.60303348057434e-11
3977.0,8.961972830512366e-11
3978.0,9.36800637063584e-11
3979.0,1.0346695722418531e-10
3980.0,1.094723617311999e-10
3981.0,1.1465704774504815e-10
3982.0,1.2135902005550037e-10
3983.0,1.236155761086266e-10
3984.0,1.283492617742965e-10
3985.0,1.312343844706021e-10
3986.0,1.3489344363737388e-10
3987.0,1.38607791910772e-10
3988.0,1.402427202146228e-10
3989.0,1.4318479735209166e-10
3990.0,1.4413122084722119e-10
3991.0,1.4613220356007872e-10
3992.0,1.4718821994552655e-10
3993.0,1.478677735811118e-10
3994.0,1.4961872019103595e-10
3995.0,1.5001080932997013e-10
3996.0,1.508518171489115e-10
3997.0,1.5071575931724368e-10
3998.0,1.5057766145076812e-10
3999.0,1.5026978272825176e-10
4000.0,1.5021700550121864e-10
4001.0,1.4959540550751882e-10
4002.0,1.4984101459614152e-10
4003.0,1.5003484565845326e-10
4004.0,1.4926337943421686e-10
4005.0,1.4877717113837008e-10
4006.0,1.480897487970978e-10
4007.0,1.4879167342662925e-10
4008.0,1.5073861603376315e-10
4009.0,1.5259758734398332e-10
4010.0,1.5379815476723735e-10
4011.0,1.534858490304103e-10
4012.0,1.5283146970190842e-10
4013.0,1.5171487677267947e-10
4014.0,1.5181440826683712e-10
4015.0,1.5197799962951564e-10
4016.0,1.5263203201332232e-10
4017.0,1.526586496103377e-10
4018.0,1.5362423833042982e-10
4019.0,1.5442840062274144e-10
4020.0,1.5523571317288543e-10
4021.0,1.5599137259680873e-10
4022.0,1.5615195247953295e-10
4023.0,1.5468384906291988e-10
4024.0,1.5369340522486397e-10
4025.0,1.5106674244869112e-10
4026.0,1.505440772042732e-10
4027.0,1.5039529344118563e-10
4028.0,1.5180633139433297e-10
4029.0,1.5223991511881252e-10
4030.0,1.5317763724098654e-10
4031.0,1.5351175886024748e-10
4032.0,1.5406484421554012e-10
4033.0,1.5420587029524313e-10
4034.0,1.5427094324227397e-10
4035.0,1.541410055150294e-10
4036.0,1.5368860351028246e-10
4037.0,1.5315183843345181e-10
4038.0,1.5445963952309683e-10
4039.0,1.5526112340236153e-10
4040.0,1.5612731940617408e-10
4041.0,1.5598632108204669e-10
4042.0,1.5574870559920129e-10
4043.0,1.5577300560565277e-10
4044.0,1.5562895416820766e-10
4045.0,1.5363278704771943e-10
4046.0,1.5274309594914826e-10
4047.0,1.5124738961258544e-10
4048.0,1.5162722466488532e-10
4049.0,1.520438219770881e-10
